species,y,x
Lynx canadensis,37.461842,-106.672693
Lynx canadensis,37.641464,-107.055589
Lynx canadensis,37.657337,-107.66236
Lynx canadensis,37.695309,-106.807527
Lynx canadensis,37.734584,-106.925082
Lynx canadensis,37.754492,-107.008613
Lynx canadensis,37.772784,-107.344746
Lynx canadensis,37.814769,-107.682343
Lynx canadensis,37.888252,-107.312427
Lynx canadensis,37.928634,-106.67951
Lynx canadensis,37.970925,-107.633568
Lynx canadensis,37.998912,-107.718712
Lynx canadensis,43.562815,-72.889375
Lynx canadensis,43.957871,-110.550249
Lynx canadensis,44.803758,-70.766619
Lynx canadensis,44.854484,-73.281068
Lynx canadensis,45.580908,-92.447906
Lynx canadensis,45.795333,-69.34596
Lynx canadensis,45.876561,-69.568047
Lynx canadensis,45.99159,-69.219479
Lynx canadensis,46.069647,-68.476974
Lynx canadensis,46.113073,-69.569154
Lynx canadensis,46.114649,-68.432291
Lynx canadensis,46.123263,-68.576407
Lynx canadensis,46.16111,-69.171262
Lynx canadensis,46.212138,-67.948322
Lynx canadensis,46.233986,-113.227214
Lynx canadensis,46.259043,-68.134643
Lynx canadensis,46.265348,-68.307393
Lynx canadensis,46.292881,-85.000656
Lynx canadensis,46.317219,-113.299227
Lynx canadensis,46.324798,-69.141723
Lynx canadensis,46.345475,-67.990372
Lynx canadensis,46.359253,-69.413437
Lynx canadensis,46.379494,-68.334943
Lynx canadensis,46.488521,-68.062072
Lynx canadensis,46.493435,-68.166992
Lynx canadensis,46.59026,-68.11107
Lynx canadensis,46.639692,-68.113463
Lynx canadensis,46.699051,-68.304396
Lynx canadensis,46.950412,-68.080819
Lynx canadensis,46.969931,-68.093658
Lynx canadensis,46.994554,-67.836347
Lynx canadensis,47.078907,-68.195893
Lynx canadensis,47.216609,-91.329787
Lynx canadensis,47.245714,-91.175735
Lynx canadensis,47.255329,-113.748475
Lynx canadensis,47.304617,-91.016099
Lynx canadensis,47.305696,-91.089873
Lynx canadensis,47.309515,-91.147608
Lynx canadensis,47.313126,-68.269962
Lynx canadensis,47.356339,-91.240565
Lynx canadensis,47.375407,-113.611568
Lynx canadensis,47.375913,-113.694384
Lynx canadensis,47.407788,-91.090238
Lynx canadensis,47.413548,-91.28303
Lynx canadensis,47.423998,-91.6344
Lynx canadensis,47.435365,-91.703572
Lynx canadensis,47.44586,-91.334545
Lynx canadensis,47.465062,-91.68185
Lynx canadensis,47.47435,-91.344448
Lynx canadensis,47.475202,-113.904657
Lynx canadensis,47.477414,-91.367195
Lynx canadensis,47.487934,-91.591099
Lynx canadensis,47.500155,-91.794033
Lynx canadensis,47.517864,-91.090806
Lynx canadensis,47.518002,-91.361385
Lynx canadensis,47.533133,-91.463019
Lynx canadensis,47.540671,-91.562014
Lynx canadensis,47.553903,-113.786249
Lynx canadensis,47.565527,-91.167527
Lynx canadensis,47.567005,-91.717046
Lynx canadensis,47.576117,-91.282592
Lynx canadensis,47.577814,-91.680714
Lynx canadensis,47.596409,-91.716403
Lynx canadensis,47.617641,-91.264341
Lynx canadensis,47.61834,-91.565058
Lynx canadensis,47.636135,-91.523843
Lynx canadensis,47.674761,-91.683113
Lynx canadensis,47.676132,-91.133334
Lynx canadensis,47.67648,-91.303594
Lynx canadensis,47.680582,-91.415645
Lynx canadensis,47.68314,-91.153232
Lynx canadensis,47.69447,-91.494088
Lynx canadensis,47.706889,-91.446225
Lynx canadensis,47.709077,-91.097596
Lynx canadensis,47.728118,-91.240597
Lynx canadensis,47.73711,-91.543605
Lynx canadensis,47.739846,-91.241004
Lynx canadensis,47.743372,-91.580612
Lynx canadensis,47.748889,-91.486
Lynx canadensis,47.756823,-91.540634
Lynx canadensis,47.764367,-91.248942
Lynx canadensis,47.765638,-91.696842
Lynx canadensis,47.77323,-91.678728
Lynx canadensis,47.775477,-91.211327
Lynx canadensis,47.780682,-91.159948
Lynx canadensis,47.783139,-91.312783
Lynx canadensis,47.793418,-91.141438
Lynx canadensis,47.799401,-91.38822
Lynx canadensis,47.806556,-90.324413
Lynx canadensis,47.813475,-91.92149
Lynx canadensis,47.822254,-91.429496
Lynx canadensis,47.824334,-91.688408
Lynx canadensis,47.824966,-91.893166
Lynx canadensis,47.835152,-91.028815
Lynx canadensis,47.837706,-91.693816
Lynx canadensis,47.862608,-91.969223
Lynx canadensis,47.869685,-90.272655
Lynx canadensis,47.869728,-91.853138
Lynx canadensis,47.873973,-90.779822
Lynx canadensis,47.878314,-90.287057
Lynx canadensis,47.879928,-91.590761
Lynx canadensis,47.884179,-90.279017
Lynx canadensis,47.889967,-91.494393
Lynx canadensis,47.922937,-90.29558
Lynx canadensis,47.923774,-91.529188
Lynx canadensis,47.926568,-91.591015
Lynx canadensis,47.932424,-90.901922
Lynx canadensis,47.97135,-90.759905
Lynx canadensis,47.99935,-91.792384
Lynx canadensis,48.028871,-91.817417
Lynx canadensis,48.033993,-90.518143
Lynx canadensis,48.036654,-90.46936
