"","species","x","y"
"1","Mephitis mephitis",-98.125224,31.020137
"2","Mephitis mephitis",-98.06826,30.27037
"3","Mephitis mephitis",-122.761333,38.007
"4","Mephitis mephitis",-96.993783,32.701925
"5","Mephitis mephitis",-93.9192,35.8847
"6","Mephitis mephitis",-122.433694,37.701065
"7","Mephitis mephitis",-122.433861,37.701853
"8","Mephitis mephitis",-97.332717,30.105789
"9","Mephitis mephitis",-71.007496,42.878659
"10","Mephitis mephitis",-72.939434,43.629242
"11","Mephitis mephitis",-94.950122,29.462302
"12","Mephitis mephitis",-72.177311,44.394657
"13","Mephitis mephitis",-97.020058,30.356183
"14","Mephitis mephitis",-93.325247,35.513293
"15","Mephitis mephitis",-97.08836,30.630831
"16","Mephitis mephitis",-112.021167,46.485667
"17","Mephitis mephitis",-98.398232,34.687851
"18","Mephitis mephitis",-98.059534,30.247409
"19","Mephitis mephitis",-98.3908,30.1541
"20","Mephitis mephitis",-118.38393,34.016971
"21","Mephitis mephitis",-94.032825,31.907904
"22","Mephitis mephitis",-72.4325,43.265167
"23","Mephitis mephitis",-97.449634,33.125936
"24","Mephitis mephitis",-81.67335,40.997026
"25","Mephitis mephitis",-72.538524,43.663801
"26","Mephitis mephitis",-92.215121,38.911754
"27","Mephitis mephitis",-91.12839,38.67685
"28","Mephitis mephitis",-72.622899,43.445624
"29","Mephitis mephitis",-97.025544,30.38328
"30","Mephitis mephitis",-96.972247,32.636737
"31","Mephitis mephitis",-89.131372,37.260016
"32","Mephitis mephitis",-95.328,30.972
"33","Mephitis mephitis",-121.088849,35.541258
"34","Mephitis mephitis",-122.595543,37.899563
"35","Mephitis mephitis",-95.310333,30.961
"36","Mephitis mephitis",-78.062189,40.469431
"37","Mephitis mephitis",-76.762659,43.091161
"38","Mephitis mephitis",-96.993771,32.486305
"39","Mephitis mephitis",-121.729377,37.393368
"40","Mephitis mephitis",-97.514503,32.528054
"41","Mephitis mephitis",-73.094252,43.795567
"42","Mephitis mephitis",-97.898833,29.963667
"43","Mephitis mephitis",-78.651221,39.716051
"44","Mephitis mephitis",-77.802611,39.485915
"45","Mephitis mephitis",-74.485417,42.677853
"46","Mephitis mephitis",-74.588202,42.57952
"47","Mephitis mephitis",-98.755116,29.818288
"48","Mephitis mephitis",-98.011641,30.196554
"49","Mephitis mephitis",-95.50798,30.230267
"50","Mephitis mephitis",-121.079534,35.532217
"51","Mephitis mephitis",-78.83794,37.66373
"52","Mephitis mephitis",-98.090696,30.152105
"53","Mephitis mephitis",-100.111253,32.045475
"54","Mephitis mephitis",-73.872395,41.232584
"55","Mephitis mephitis",-72.573667,44.285028
"56","Mephitis mephitis",-97.9242,30.0282
"57","Mephitis mephitis",-122.769196,45.742749
"58","Mephitis mephitis",-122.473975,37.787783
"59","Mephitis mephitis",-88.901067,37.346859
"60","Mephitis mephitis",-97.402596,30.167419
"61","Mephitis mephitis",-97.9721,30.1963
"62","Mephitis mephitis",-97.153,26.000666
"63","Mephitis mephitis",-97.700381,30.24114
"64","Mephitis mephitis",-97.150076,25.996545
"65","Mephitis mephitis",-72.426,43.644667
"66","Mephitis mephitis",-99.377611,30.297756
"67","Mephitis mephitis",-96.894278,29.914196
"68","Mephitis mephitis",-122.024031,36.981259
"69","Mephitis mephitis",-98.437234,29.71853
"70","Mephitis mephitis",-92.29723,38.907927
"71","Mephitis mephitis",-122.011763,37.790727
"72","Mephitis mephitis",-97.806028,30.16168
"73","Mephitis mephitis",-97.32085,32.725409
"74","Mephitis mephitis",-117.597748,33.390673
"75","Mephitis mephitis",-103.673575,30.348194
"76","Mephitis mephitis",-117.599961,33.395594
"77","Mephitis mephitis",-98.709476,29.8095
"78","Mephitis mephitis",-98.437812,29.720825
"79","Mephitis mephitis",-99.399147,28.317303
"80","Mephitis mephitis",-103.657917,30.373225
"81","Mephitis mephitis",-102.724259,33.412171
"82","Mephitis mephitis",-116.969575,32.847611
"83","Mephitis mephitis",-98.27348,30.208569
"84","Mephitis mephitis",-97.728544,30.179888
"85","Mephitis mephitis",-101.146819,29.655558
