"","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","x","y"
"1",-1.453224224,0.209389507,-1.250289264,1.48687881,-1.280157939,-1.555551019,1.060514693,-1.337618952,-1.645272581,-0.359026051,-0.105781794,-1.05250578,0.798439337,-0.08591658,-1.116209821,-90.10841667,45.79467748
"2",-0.808970512,-0.114044715,-0.385630312,0.408608249,-1.429829113,-0.803657466,0.15502986,-1.010101808,-0.798560981,0.083777472,0.339162094,-0.502730376,0.72245019,0.309545123,-0.294308791,-72.23842167,42.46227748
"3",-0.787495388,-0.114044715,-0.385630312,0.398995139,-1.404883918,-0.780522279,0.142276553,-0.982808713,-0.769858893,0.092545858,0.345428909,-0.490907249,0.720355543,0.315923537,-0.283276562,-72.23842167,42.42062248
"4",-1.839776451,0.500480307,0.046699164,0.166678302,-1.754116657,-1.11598248,0.333576165,-2.183704908,-1.229092303,-1.187638584,-1.208741292,-0.685988844,-0.970373877,-1.179814678,-0.834887992,-105.4791117,40.21290748
"5",-1.302898358,-0.275761826,-1.250289264,1.199019556,-1.330048331,-1.11598248,0.550382393,-1.310325857,-1.458709008,-0.306415732,0.094756296,-1.011124836,1.005693043,0.086300613,-1.099661478,-89.56690167,46.25288248
"6",-0.315042667,-0.987317115,-0.385630312,-0.893434161,-0.107733743,0.549750931,-0.66118182,-0.873636332,0.16295897,-0.416020564,-0.832732372,0.188922552,-1.414788197,-0.841758706,0.213173724,-122.0161467,45.83633248
"7",-1.345848605,-0.17873156,-1.250289264,1.204894235,-1.354993526,-1.173820446,0.601395623,-1.364912048,-1.487411096,-0.328336698,0.028954735,-1.017036399,0.934475037,0.032084089,-1.099661478,-89.48359167,46.21122748
"8",1.016415004,0.597510574,0.695193379,-0.269116041,1.214361626,0.561318524,0.00199017,1.282518201,0.837458041,0.535349381,0.498965885,-0.023893734,0.524273288,0.481762316,0.191109267,-99.06424167,35.42258248
"9",-0.830445636,-0.114044715,-0.60179505,0.419289483,-1.454774309,-0.826792652,0.180536475,-1.010101808,-0.798560981,0.083777472,0.339162094,-0.508641939,0.72570853,0.309545123,-0.299824905,-72.28007667,42.46227748
"10",-0.744545141,1.179692174,-1.250289264,1.757114027,0.765348105,-1.324199157,1.838466451,0.027035815,-1.142986039,-0.630846036,-0.21858447,-0.93427451,0.611550256,-0.210295664,-1.044500335,-100.8970617,46.79439748
"11",-1.324373481,-0.243418404,-1.250289264,1.201689865,-1.330048331,-1.139117666,0.575889008,-1.337618952,-1.458709008,-0.315184118,0.069689035,-1.017036399,0.979742691,0.067165369,-1.099661478,-89.52524667,46.25288248
"12",-1.560599842,0.177046085,-0.60179505,1.012632025,-2.128294592,-1.48614546,0.550382393,-1.747015383,-1.544815272,-0.227500252,0.010154289,-0.833777931,0.682651893,0.048030126,-0.774210734,-71.32201167,44.04516748
"13",0.329211045,0.080015818,0.479028641,-0.728943159,0.540841344,0.503480558,-0.278582595,0.081622005,0.579139248,-0.749219255,-1.243208776,0.11798379,-1.82917924,-1.243598824,0.097335324,-119.0169867,36.96381748
"14",-0.808970512,-0.114044715,-0.385630312,0.408608249,-1.429829113,-0.803657466,0.15502986,-1.010101808,-0.798560981,0.083777472,0.339162094,-0.502730376,0.72245019,0.309545123,-0.294308791,-72.23842167,42.46227748
"15",-1.023721749,1.147348752,-1.466454002,2.065801686,0.316334583,-1.590253799,1.927739603,-0.273188234,-1.487411096,-0.604540876,-0.199784024,-1.028859526,0.711627846,-0.172025177,-1.132758164,-99.18920667,47.21094748
"16",-1.023721749,1.147348752,-1.466454002,2.04497328,0.316334583,-1.578686205,1.914986296,-0.273188234,-1.458709008,-0.604540876,-0.202917432,-1.022947963,0.704529319,-0.175214384,-1.127242049,-99.23086167,47.16929248
"17",-1.023721749,1.11500533,-1.466454002,2.047643589,0.291389387,-1.578686205,1.902232988,-0.300481329,-1.473060052,-0.591388296,-0.184116986,-1.03477109,0.734203488,-0.159268348,-1.132758164,-99.06424167,47.12763748
"18",-0.014390935,0.306419774,0.046699164,0.289512491,0.7902933,0.168020357,0.218796398,0.299966768,-0.081008779,-1.099954718,-1.406145975,-0.443614741,-1.488682697,-1.32970742,-0.564598391,-112.4771517,40.17125248
"19",-1.345848605,-0.17873156,-1.250289264,1.204894235,-1.354993526,-1.173820446,0.601395623,-1.364912048,-1.487411096,-0.328336698,0.028954735,-1.017036399,0.934475037,0.032084089,-1.099661478,-89.48359167,46.21122748
"20",-1.582074966,0.500480307,-0.60179505,1.253493849,-2.0784042,-1.613388985,0.71617539,-1.692429192,-1.673974669,-0.275726379,-0.118315425,-0.892893566,0.594211232,-0.047646093,-0.80730742,-74.07124167,44.29509748
"21",-1.324373481,-0.243418404,-1.250289264,1.201689865,-1.330048331,-1.139117666,0.575889008,-1.337618952,-1.458709008,-0.315184118,0.069689035,-1.017036399,0.979742691,0.067165369,-1.099661478,-89.52524667,46.25288248
"22",-2.526980409,1.082661908,-0.817959788,1.428666085,-1.804007048,-2.284309386,1.596153608,-2.483928957,-2.133208079,-1.26216987,-1.186807438,-0.827866368,-0.938139584,-1.227652787,-0.978306963,-110.5193667,44.96157748
"23",-1.345848605,-0.211074982,-1.250289264,1.205962358,-1.330048331,-1.15068526,0.588642315,-1.364912048,-1.473060052,-0.323952505,0.044621774,-1.017036399,0.953210493,0.044840918,-1.099661478,-89.48359167,46.25288248
