species,x,y
Peromyscus maniculatus,-119.4751917,47.37756748
Peromyscus maniculatus,-119.5168467,34.42286248
Peromyscus maniculatus,-77.40364167,39.08822248
Peromyscus maniculatus,-122.5993167,45.58640248
Peromyscus maniculatus,-111.8523267,34.83941248
Peromyscus maniculatus,-117.2258217,33.38148748
Peromyscus maniculatus,-121.4329767,39.50477248
Peromyscus maniculatus,-111.1025367,45.75302248
Peromyscus maniculatus,-78.73660167,35.63085748
Peromyscus maniculatus,-103.3130517,43.96185748
Peromyscus maniculatus,-105.2291817,40.12959748
Peromyscus maniculatus,-117.6423717,33.75638248
Peromyscus maniculatus,-121.9744917,37.33871248
Peromyscus maniculatus,-74.61275667,39.37980748
Peromyscus maniculatus,-104.8959417,39.00491248
Peromyscus maniculatus,-72.57166167,44.25344248
Peromyscus maniculatus,-122.5576617,38.33843248
Peromyscus maniculatus,-122.7659367,45.46143748
Peromyscus maniculatus,-81.90238167,41.42090248
Peromyscus maniculatus,-122.0994567,45.58640248
Peromyscus maniculatus,-121.3496667,44.08682248
Peromyscus maniculatus,-122.8492467,45.54474748
Peromyscus maniculatus,-117.7256817,34.08962248
Peromyscus maniculatus,-111.8106717,41.75414248
Peromyscus maniculatus,-122.8492467,45.62805748
Peromyscus maniculatus,-85.40140167,42.42062248
Peromyscus maniculatus,-123.8906217,46.12791748
Peromyscus maniculatus,-103.6879467,41.71248748
Peromyscus maniculatus,-97.68962667,37.54698748
Peromyscus maniculatus,-110.1444717,45.66971248
Peromyscus maniculatus,-123.2241417,44.87826748
Peromyscus maniculatus,-110.4360567,44.91992248
Peromyscus maniculatus,-73.98793167,44.25344248
Peromyscus maniculatus,-122.8909017,47.08598248
Peromyscus maniculatus,-89.35862667,41.21262748
Peromyscus maniculatus,-121.5579417,36.38064748
Peromyscus maniculatus,-117.1008567,32.54838748
Peromyscus maniculatus,-79.90294167,38.63001748
Peromyscus maniculatus,-81.90238167,41.04600748
Peromyscus maniculatus,-123.3074517,44.58668248
Peromyscus maniculatus,-116.6426517,33.96465748
Peromyscus maniculatus,-73.07152167,44.25344248
Peromyscus maniculatus,-119.0586417,34.33955248
Peromyscus maniculatus,-117.8923017,34.63113748
Peromyscus maniculatus,-122.9742117,38.42174248
Peromyscus maniculatus,-112.2688767,41.50421248
Peromyscus maniculatus,-77.36198667,38.96325748
Peromyscus maniculatus,-72.53000667,43.12875748
Peromyscus maniculatus,-88.06732167,43.00379248
Peromyscus maniculatus,-113.9767317,46.96101748
Peromyscus maniculatus,-122.8492467,38.58836248
Peromyscus maniculatus,-79.86128667,40.46283748
Peromyscus maniculatus,-105.5207667,37.58864248
Peromyscus maniculatus,-106.0622817,35.58920248
Peromyscus maniculatus,-81.44417667,41.08766248
Peromyscus maniculatus,-122.1827667,40.58780248
Peromyscus maniculatus,-113.7268017,48.83549248
Peromyscus maniculatus,-111.9772917,40.33787248
Peromyscus maniculatus,-89.65021167,45.87798748
Peromyscus maniculatus,-118.7670567,35.04768748
Peromyscus maniculatus,-111.7690167,34.88106748
Peromyscus maniculatus,-123.5573817,44.54502748
Peromyscus maniculatus,-85.15147167,46.75274248
Peromyscus maniculatus,-124.0155867,43.42034248
Peromyscus maniculatus,-117.1841667,33.08990248
Peromyscus maniculatus,-124.0988967,44.29509748
Peromyscus maniculatus,-92.48275167,34.83941248
Peromyscus maniculatus,-118.3505067,33.33983248
Peromyscus maniculatus,-79.56970167,40.37952748
Peromyscus maniculatus,-80.31949167,40.42118248
Peromyscus maniculatus,-74.57110167,41.37924748
Peromyscus maniculatus,-96.56494167,38.42174248
Peromyscus maniculatus,-122.8075917,42.29565748
Peromyscus maniculatus,-122.8492467,45.50309248
Peromyscus maniculatus,-96.48163167,37.54698748
Peromyscus maniculatus,-98.64769167,38.42174248
Peromyscus maniculatus,-109.3946817,47.08598248
Peromyscus maniculatus,-123.8489667,40.71276748
Peromyscus maniculatus,-83.98513167,42.46227748
Peromyscus maniculatus,-89.60855667,43.42034248
Peromyscus maniculatus,-81.48583167,41.08766248
Peromyscus maniculatus,-104.8542867,39.75470248
Peromyscus maniculatus,-113.4352167,37.38036748
Peromyscus maniculatus,-113.3935617,48.46059748
Peromyscus maniculatus,-121.4746317,46.91936248
Peromyscus maniculatus,-71.78021667,44.17013248
Peromyscus maniculatus,-122.9742117,45.50309248
Peromyscus maniculatus,-122.5576617,38.33843248
Peromyscus maniculatus,-113.6434917,48.79383748
Peromyscus maniculatus,-68.98933167,44.42006248
Peromyscus maniculatus,-122.8075917,43.83689248
Peromyscus maniculatus,-122.4743517,48.71052748
Peromyscus maniculatus,-122.3077317,45.50309248
Peromyscus maniculatus,-96.52328667,37.54698748
Peromyscus maniculatus,-81.27755667,41.08766248
Peromyscus maniculatus,-82.69382667,42.96213748
Peromyscus maniculatus,-121.8911817,37.83857248
Peromyscus maniculatus,-71.40532167,43.83689248
Peromyscus maniculatus,-123.2657967,45.54474748
Peromyscus maniculatus,-69.53084667,44.42006248
Peromyscus maniculatus,-116.7676167,32.75666248
Peromyscus maniculatus,-74.52944667,39.50477248
Peromyscus maniculatus,-72.03014667,44.54502748
Peromyscus maniculatus,-86.60939667,38.87994748
Peromyscus maniculatus,-83.73520167,42.25400248
Peromyscus maniculatus,-112.0189467,40.29621748
Peromyscus maniculatus,-87.60911667,41.79579748
Peromyscus maniculatus,-122.4743517,48.75218248
Peromyscus maniculatus,-86.65105167,46.46115748
Peromyscus maniculatus,-77.15371167,38.87994748
Peromyscus maniculatus,-122.3077317,37.25540248
Peromyscus maniculatus,-123.4740717,43.25372248
Peromyscus maniculatus,-82.94375667,40.12959748
Peromyscus maniculatus,-78.65329167,41.96241748
Peromyscus maniculatus,-104.8126317,38.71332748
Peromyscus maniculatus,-114.8931417,44.25344248
Peromyscus maniculatus,-121.9328367,37.00547248
Peromyscus maniculatus,-117.7673367,33.79803748
Peromyscus maniculatus,-119.6001567,38.46339748
Peromyscus maniculatus,-80.27783667,41.42090248
Peromyscus maniculatus,-70.23898167,43.71192748
Peromyscus maniculatus,-93.98233167,44.17013248
Peromyscus maniculatus,-84.36002667,46.00295248
Peromyscus maniculatus,-122.6826267,38.58836248
Peromyscus maniculatus,-110.8942617,31.71528748
Peromyscus maniculatus,-118.6420917,34.17293248
Peromyscus maniculatus,-122.0161467,47.71080748
Peromyscus maniculatus,-119.1836067,37.08878248
Peromyscus maniculatus,-120.8498067,35.29761748
Peromyscus maniculatus,-117.1425117,32.96493748
Peromyscus maniculatus,-123.2241417,42.71220748
Peromyscus maniculatus,-123.8489667,40.75442248
Peromyscus maniculatus,-75.11261667,40.17125248
Peromyscus maniculatus,-105.1458717,40.00463248
Peromyscus maniculatus,-114.8098317,39.17153248
Peromyscus maniculatus,-114.3516267,43.67027248
Peromyscus maniculatus,-100.7720967,41.17097248
Peromyscus maniculatus,-119.1836067,34.96437748
Peromyscus maniculatus,-75.02930667,44.46171748
Peromyscus maniculatus,-123.0991767,47.21094748
Peromyscus maniculatus,-118.3505067,33.33983248
Peromyscus maniculatus,-116.7259617,43.58696248
Peromyscus maniculatus,-105.2291817,39.96297748
Peromyscus maniculatus,-102.1467117,43.75358248
Peromyscus maniculatus,-122.2244217,37.83857248
Peromyscus maniculatus,-68.98933167,44.50337248
Peromyscus maniculatus,-111.3524667,39.54642748
Peromyscus maniculatus,-116.6843067,33.75638248
Peromyscus maniculatus,-82.52720667,39.67139248
Peromyscus maniculatus,-118.2255417,34.63113748
Peromyscus maniculatus,-122.2244217,47.71080748
Peromyscus maniculatus,-122.9325567,38.42174248
Peromyscus maniculatus,-73.11317667,44.50337248
Peromyscus maniculatus,-87.81739167,42.12903748
Peromyscus maniculatus,-118.5171267,32.92328248
Peromyscus maniculatus,-105.3124917,40.04628748
Peromyscus maniculatus,-123.9322767,45.54474748
Peromyscus maniculatus,-123.6823467,40.87938748
Peromyscus maniculatus,-122.8909017,44.04516748
Peromyscus maniculatus,-79.94459667,38.63001748
Peromyscus maniculatus,-117.8089917,33.63141748
Peromyscus maniculatus,-78.36170667,42.67055248
Peromyscus maniculatus,-110.6859867,43.71192748
Peromyscus maniculatus,-118.4338167,34.63113748
Peromyscus maniculatus,-122.6826267,45.46143748
Peromyscus maniculatus,-117.3091317,33.29817748
Peromyscus maniculatus,-118.2255417,37.04712748
Peromyscus maniculatus,-122.1411117,44.29509748
Peromyscus maniculatus,-88.06732167,41.96241748
Peromyscus maniculatus,-117.1425117,33.63141748
Peromyscus maniculatus,-80.31949167,36.21402748
Peromyscus maniculatus,-123.3074517,44.58668248
Peromyscus maniculatus,-83.19368667,42.12903748
Peromyscus maniculatus,-113.2685967,37.21374748
Peromyscus maniculatus,-113.9767317,46.87770748
Peromyscus maniculatus,-123.8073117,48.04404748
Peromyscus maniculatus,-121.6412517,44.58668248
Peromyscus maniculatus,-117.1841667,33.92300248
Peromyscus maniculatus,-110.6859867,44.96157748
Peromyscus maniculatus,-122.8075917,45.58640248
Peromyscus maniculatus,-79.90294167,40.46283748
Peromyscus maniculatus,-122.6409717,45.58640248
Peromyscus maniculatus,-121.5162867,37.63029748
Peromyscus maniculatus,-68.94767667,46.04460748
Peromyscus maniculatus,-116.9342367,32.79831748
Peromyscus maniculatus,-119.8500867,35.29761748
Peromyscus maniculatus,-75.69578667,41.21262748
Peromyscus maniculatus,-123.6406917,46.12791748
Peromyscus maniculatus,-83.90182167,42.54558748
Peromyscus maniculatus,-103.6879467,41.71248748
Peromyscus maniculatus,-91.19144667,47.37756748
Peromyscus maniculatus,-117.2674767,48.21066748
Peromyscus maniculatus,-73.02986667,42.42062248
Peromyscus maniculatus,-122.3910417,47.29425748
Peromyscus maniculatus,-107.7701367,47.75246248
Peromyscus maniculatus,-84.11009667,42.50393248
Peromyscus maniculatus,-120.1000167,39.37980748
Peromyscus maniculatus,-111.8939817,40.46283748
Peromyscus maniculatus,-116.3094117,48.21066748
Peromyscus maniculatus,-119.7251217,34.46451748
Peromyscus maniculatus,-119.5585017,34.92272248
Peromyscus maniculatus,-112.3938417,42.75386248
Peromyscus maniculatus,-82.02734667,40.29621748
Peromyscus maniculatus,-122.2660767,47.54418748
Peromyscus maniculatus,-118.4754717,33.38148748
Peromyscus maniculatus,-122.4743517,44.21178748
Peromyscus maniculatus,-85.60967667,42.17069248
Peromyscus maniculatus,-119.8084317,39.54642748
Peromyscus maniculatus,-101.8967817,38.08850248
Peromyscus maniculatus,-121.1830467,36.46395748
Peromyscus maniculatus,-123.3491067,43.29537748
Peromyscus maniculatus,-89.15035167,47.91908248
Peromyscus maniculatus,-101.0636817,40.71276748
Peromyscus maniculatus,-120.0583617,34.67279248
Peromyscus maniculatus,-119.4751917,44.29509748
Peromyscus maniculatus,-85.02650667,45.62805748
Peromyscus maniculatus,-120.2249817,39.42146248
Peromyscus maniculatus,-86.10953667,39.92132248
Peromyscus maniculatus,-83.73520167,42.25400248
Peromyscus maniculatus,-122.0161467,47.66915248
Peromyscus maniculatus,-79.11149667,40.33787248
Peromyscus maniculatus,-121.3913217,45.66971248
Peromyscus maniculatus,-122.6409717,48.16901248
Peromyscus maniculatus,-114.5599017,47.00267248
Peromyscus maniculatus,-92.10785667,45.33647248
Peromyscus maniculatus,-73.02986667,44.17013248
Peromyscus maniculatus,-112.3938417,42.75386248
Peromyscus maniculatus,-122.5993167,38.33843248
Peromyscus maniculatus,-74.36282667,41.62917748
Peromyscus maniculatus,-122.7659367,48.04404748
Peromyscus maniculatus,-123.9322767,45.96129748
Peromyscus maniculatus,-121.6412517,44.58668248
Peromyscus maniculatus,-95.85680667,36.67223248
Peromyscus maniculatus,-123.5157267,44.29509748
Peromyscus maniculatus,-68.94767667,45.87798748
Peromyscus maniculatus,-111.6023967,35.29761748
Peromyscus maniculatus,-81.48583167,41.37924748
Peromyscus maniculatus,-123.4324167,45.08654248
Peromyscus maniculatus,-81.52748667,41.04600748
Peromyscus maniculatus,-122.5576617,45.33647248
Peromyscus maniculatus,-87.65077167,41.50421248
Peromyscus maniculatus,-116.8092717,34.29789748
Peromyscus maniculatus,-121.7662167,36.67223248
Peromyscus maniculatus,-103.2713967,44.00351248
Peromyscus maniculatus,-73.23814167,43.67027248
Peromyscus maniculatus,-123.0991767,45.54474748
Peromyscus maniculatus,-109.9361967,45.04488748
Peromyscus maniculatus,-80.61107667,40.17125248
Peromyscus maniculatus,-72.57166167,44.00351248
Peromyscus maniculatus,-121.6829067,36.17237248
Peromyscus maniculatus,-117.2674767,33.79803748
Peromyscus maniculatus,-120.8081517,35.46423748
Peromyscus maniculatus,-86.52608667,43.62861748
Peromyscus maniculatus,-122.4743517,47.46087748
Peromyscus maniculatus,-123.6406917,40.96269748
Peromyscus maniculatus,-69.65581167,44.54502748
Peromyscus maniculatus,-119.7251217,39.37980748
Peromyscus maniculatus,-72.98821167,44.33675248
Peromyscus maniculatus,-122.9742117,38.42174248
Peromyscus maniculatus,-123.5157267,43.12875748
Peromyscus maniculatus,-117.6840267,33.92300248
Peromyscus maniculatus,-85.94291667,44.91992248
Peromyscus maniculatus,-82.48555167,35.58920248
Peromyscus maniculatus,-113.8101117,48.66887248
Peromyscus maniculatus,-81.15259167,39.87966748
Peromyscus maniculatus,-116.9342367,32.75666248
Peromyscus maniculatus,-118.3088517,34.50617248
Peromyscus maniculatus,-111.0608817,43.67027248
Peromyscus maniculatus,-97.43969667,37.71360748
Peromyscus maniculatus,-80.06956167,41.50421248
Peromyscus maniculatus,-86.19284667,34.71444748
Peromyscus maniculatus,-122.6826267,45.41978248
Peromyscus maniculatus,-79.77797667,38.92160248
Peromyscus maniculatus,-105.2708367,39.46311748
Peromyscus maniculatus,-87.69242667,41.71248748
Peromyscus maniculatus,-92.52440667,47.58584248
Peromyscus maniculatus,-112.2272217,34.54782748
Peromyscus maniculatus,-116.8509267,33.67307248
Peromyscus maniculatus,-81.77741667,36.17237248
Peromyscus maniculatus,-116.8925817,44.00351248
Peromyscus maniculatus,-72.44669667,44.33675248
Peromyscus maniculatus,-82.90210167,40.37952748
Peromyscus maniculatus,-80.61107667,40.17125248
Peromyscus maniculatus,-68.78105667,45.96129748
Peromyscus maniculatus,-117.8923017,46.04460748
Peromyscus maniculatus,-85.31809167,42.29565748
Peromyscus maniculatus,-81.98569167,40.42118248
Peromyscus maniculatus,-84.11009667,42.58724248
Peromyscus maniculatus,-87.44249667,46.62777748
Peromyscus maniculatus,-89.02538667,40.50449248
Peromyscus maniculatus,-91.23310167,47.33591248
Peromyscus maniculatus,-118.6837467,42.75386248
Peromyscus maniculatus,-113.8101117,47.41922248
Peromyscus maniculatus,-103.7296017,42.54558748
Peromyscus maniculatus,-82.19396667,39.25484248
Peromyscus maniculatus,-103.6462917,42.87882748
Peromyscus maniculatus,-81.56914167,41.17097248
Peromyscus maniculatus,-122.7659367,38.04684748
Peromyscus maniculatus,-117.4340967,47.66915248
Peromyscus maniculatus,-74.44613667,40.50449248
Peromyscus maniculatus,-88.02566667,36.92216248
Peromyscus maniculatus,-96.60659667,40.83773248
Peromyscus maniculatus,-89.56690167,46.25288248
Peromyscus maniculatus,-85.56802167,45.75302248
Peromyscus maniculatus,-80.31949167,36.21402748
Peromyscus maniculatus,-114.1433517,39.00491248
Peromyscus maniculatus,-94.23226167,34.63113748
Peromyscus maniculatus,-72.61331667,43.71192748
Peromyscus maniculatus,-123.1408317,45.87798748
Peromyscus maniculatus,-116.5593417,33.83969248
Peromyscus maniculatus,-117.3091317,47.58584248
Peromyscus maniculatus,-122.8909017,44.08682248
Peromyscus maniculatus,-105.0625617,40.62945748
Peromyscus maniculatus,-123.5573817,48.04404748
Peromyscus maniculatus,-123.8489667,40.75442248
Peromyscus maniculatus,-73.23814167,44.62833748
Peromyscus maniculatus,-107.8951017,37.04712748
Peromyscus maniculatus,-122.3077317,37.29705748
Peromyscus maniculatus,-121.5995967,45.71136748
Peromyscus maniculatus,-78.52832667,38.25512248
Peromyscus maniculatus,-85.15147167,46.75274248
Peromyscus maniculatus,-117.8923017,35.96409748
Peromyscus maniculatus,-121.2663567,44.17013248
Peromyscus maniculatus,-75.11261667,40.17125248
Peromyscus maniculatus,-122.5993167,37.96353748
Peromyscus maniculatus,-118.1422317,34.21458748
Peromyscus maniculatus,-122.1411117,45.58640248
Peromyscus maniculatus,-104.4793917,32.13183748
Peromyscus maniculatus,-95.60687667,39.12987748
Peromyscus maniculatus,-122.7242817,45.50309248
Peromyscus maniculatus,-122.6409717,38.54670748
Peromyscus maniculatus,-96.81487167,44.29509748
Peromyscus maniculatus,-118.5587817,33.00659248
Peromyscus maniculatus,-72.53000667,43.87854748
Peromyscus maniculatus,-124.0572417,41.37924748
Peromyscus maniculatus,-122.6409717,45.54474748
Peromyscus maniculatus,-119.0169867,43.46199748
Peromyscus maniculatus,-81.15259167,41.29593748
Peromyscus maniculatus,-113.3935617,48.58556248
Peromyscus maniculatus,-88.35890667,44.25344248
Peromyscus maniculatus,-123.3491067,45.58640248
Peromyscus maniculatus,-123.3074517,44.75330248
Peromyscus maniculatus,-123.3491067,43.29537748
Peromyscus maniculatus,-124.0572417,40.92104248
Peromyscus maniculatus,-112.9770117,45.37812748
Peromyscus maniculatus,-122.4743517,47.46087748
Peromyscus maniculatus,-109.5196467,40.54614748
Peromyscus maniculatus,-94.27391667,36.42230248
Peromyscus maniculatus,-114.2683167,47.37756748
Peromyscus maniculatus,-112.0606017,36.21402748
Peromyscus maniculatus,-72.03014667,44.08682248
Peromyscus maniculatus,-79.56970167,35.33927248
Peromyscus maniculatus,-123.0991767,47.04432748
Peromyscus maniculatus,-84.15175167,40.71276748
Peromyscus maniculatus,-111.5607417,40.37952748
Peromyscus maniculatus,-73.11317667,44.25344248
Peromyscus maniculatus,-105.5207667,40.04628748
Peromyscus maniculatus,-122.9325567,38.13015748
Peromyscus maniculatus,-111.7273617,40.25456248
Peromyscus maniculatus,-108.8531667,42.71220748
Peromyscus maniculatus,-122.5576617,38.25512248
Peromyscus maniculatus,-116.6426517,33.79803748
Peromyscus maniculatus,-123.5573817,44.58668248
Peromyscus maniculatus,-88.02566667,36.92216248
Peromyscus maniculatus,-104.6043567,30.04908748
Peromyscus maniculatus,-123.9322767,45.96129748
Peromyscus maniculatus,-77.48695167,38.87994748
Peromyscus maniculatus,-80.31949167,36.13071748
Peromyscus maniculatus,-89.90014167,46.75274248
Peromyscus maniculatus,-110.9359167,43.79523748
Peromyscus maniculatus,-120.0583617,46.96101748
Peromyscus maniculatus,-72.65497167,43.04544748
Peromyscus maniculatus,-72.44669667,44.33675248
Peromyscus maniculatus,-117.2674767,33.17321248
Peromyscus maniculatus,-117.2258217,32.67335248
Peromyscus maniculatus,-94.85708667,47.50253248
Peromyscus maniculatus,-81.27755667,37.88022748
Peromyscus maniculatus,-115.6012767,33.17321248
Peromyscus maniculatus,-122.1411117,38.25512248
Peromyscus maniculatus,-113.7684567,47.58584248
Peromyscus maniculatus,-117.0175467,46.71108748
