species,BIO1,BIO12,x,y
Peromyscus maniculatus,-0.291127392,-0.949778338,-119.4751917,47.37756748
Peromyscus maniculatus,1.692669924,-0.447677063,-119.5168467,34.42286248
Peromyscus maniculatus,0.140132894,0.604973856,-77.40364167,39.08822248
Peromyscus maniculatus,0.053880837,-0.258287986,-122.5993167,45.58640248
Peromyscus maniculatus,0.334200023,-0.87049919,-111.8523267,34.83941248
Peromyscus maniculatus,1.97298911,-0.117347277,-117.2258217,33.38148748
Peromyscus maniculatus,1.196720595,-0.412441886,-121.4329767,39.50477248
Peromyscus maniculatus,-1.002706864,-1.134763019,-111.1025367,45.75302248
Peromyscus maniculatus,0.743897295,1.212780662,-78.73660167,35.63085748
Peromyscus maniculatus,-0.83020275,-0.80883763,-103.3130517,43.96185748
Peromyscus maniculatus,-1.326152079,-1.112741033,-105.2291817,40.12959748
Peromyscus maniculatus,1.82204801,-0.35958912,-117.6423717,33.75638248
Peromyscus maniculatus,0.916401409,-0.148178057,-121.9744917,37.33871248
Peromyscus maniculatus,0.355763037,0.719488182,-74.61275667,39.37980748
Peromyscus maniculatus,-0.98114385,-1.165593799,-104.8959417,39.00491248
Peromyscus maniculatus,-1.261463036,-0.0821121,-72.57166167,44.25344248
Peromyscus maniculatus,0.873275381,-0.333162737,-122.5576617,38.33843248
Peromyscus maniculatus,-0.097060263,-0.183413234,-122.7659367,45.46143748
Peromyscus maniculatus,0.140132894,0.569738678,-81.90238167,41.42090248
Peromyscus maniculatus,-0.053934235,-0.386015503,-122.0994567,45.58640248
Peromyscus maniculatus,-0.743950693,-0.769198055,-121.3496667,44.08682248
Peromyscus maniculatus,-0.183312321,-0.130560468,-122.8492467,45.54474748
Peromyscus maniculatus,1.606417867,-0.615044155,-117.7256817,34.08962248
Peromyscus maniculatus,-0.506757535,-1.037866281,-111.8106717,41.75414248
Peromyscus maniculatus,-0.183312321,-0.121751674,-122.8492467,45.62805748
Peromyscus maniculatus,-0.377379449,0.301070452,-85.40140167,42.42062248
Peromyscus maniculatus,-0.010808206,-0.130560468,-123.8906217,46.12791748
Peromyscus maniculatus,-0.053934235,-0.800028835,-103.6879467,41.71248748
Peromyscus maniculatus,0.636082223,0.508077118,-97.68962667,37.54698748
Peromyscus maniculatus,-1.584908251,-1.042270678,-110.1444717,45.66971248
Peromyscus maniculatus,-0.161749306,-0.046876923,-123.2241417,44.87826748
Peromyscus maniculatus,-2.576806909,-1.27129933,-110.4360567,44.91992248
Peromyscus maniculatus,-1.628034279,-0.284714369,-73.98793167,44.25344248
Peromyscus maniculatus,-0.398942464,-0.121751674,-122.8909017,47.08598248
Peromyscus maniculatus,-0.248001364,0.375945204,-89.35862667,41.21262748
Peromyscus maniculatus,1.002653466,-0.20543522,-121.5579417,36.38064748
Peromyscus maniculatus,1.82204801,0.257026481,-117.1008567,32.54838748
Peromyscus maniculatus,-0.614572607,0.349518821,-79.90294167,38.63001748
Peromyscus maniculatus,-0.204875335,0.508077118,-81.90238167,41.04600748
Peromyscus maniculatus,-0.053934235,-0.042472525,-123.3074517,44.58668248
