species,x,y
Rattus norvegicus,-118.207744,34.20412
Rattus norvegicus,-118.388688,34.07236
Rattus norvegicus,-122.259947,47.674888
Rattus norvegicus,-71.38052,41.754203
Rattus norvegicus,-72.368958,43.751711
Rattus norvegicus,-81.4685,41.081833
Rattus norvegicus,-122.289151,37.827311
Rattus norvegicus,-73.972372,40.775422
Rattus norvegicus,-74.005973,40.712775
Rattus norvegicus,-77.021392,38.888969
Rattus norvegicus,-73.972237,40.780113
Rattus norvegicus,-77.019234,38.883339
Rattus norvegicus,-73.943383,40.754537
Rattus norvegicus,-79.918919,40.482122
Rattus norvegicus,-73.838372,40.736867
Rattus norvegicus,-73.990953,40.722585
Rattus norvegicus,-70.078378,43.944763
Rattus norvegicus,-73.955549,40.795385
Rattus norvegicus,-73.98222,40.766223
Rattus norvegicus,-73.95969,40.801896
Rattus norvegicus,-87.651245,41.983353
Rattus norvegicus,-71.148585,42.369619
Rattus norvegicus,-73.95755,40.794578
Rattus norvegicus,-74.350719,41.135486
Rattus norvegicus,-70.533299,43.636746
Rattus norvegicus,-70.542092,41.57755
Rattus norvegicus,-70.078369,43.944742
Rattus norvegicus,-77.043092,38.899913
Rattus norvegicus,-77.0186,38.883259
Rattus norvegicus,-74.00213,40.716577
Rattus norvegicus,-73.950281,40.796863
Rattus norvegicus,-83.005267,40.013657
Rattus norvegicus,-83.061679,40.160361
Rattus norvegicus,-87.721371,42.163468
Rattus norvegicus,-122.420625,37.803858
Rattus norvegicus,-118.272322,34.058875
Rattus norvegicus,-70.169227,42.060165
Rattus norvegicus,-81.557455,41.099061
Rattus norvegicus,-70.078369,43.944742
Rattus norvegicus,-74.028314,40.62318
Rattus norvegicus,-73.982072,40.767822
Rattus norvegicus,-73.964408,40.658087
Rattus norvegicus,-121.304476,38.635693
Rattus norvegicus,-121.940942,37.583221
Rattus norvegicus,-122.272638,37.855912
Rattus norvegicus,-122.797165,38.44097
Rattus norvegicus,-73.929863,40.866725
Rattus norvegicus,-73.965583,40.782555
Rattus norvegicus,-68.66472,44.903438
Rattus norvegicus,-70.078383,43.944755
Rattus norvegicus,-122.416511,37.767848
Rattus norvegicus,-73.51003,40.591624
Rattus norvegicus,-70.554922,43.336172
Rattus norvegicus,-70.600479,42.659544
Rattus norvegicus,-122.452478,37.768938
Rattus norvegicus,-82.97256,40.048748
Rattus norvegicus,-69.655913,44.556295
Rattus norvegicus,-79.817362,39.524378
Rattus norvegicus,-73.968285,40.776172
Rattus norvegicus,-73.993736,40.751794
Rattus norvegicus,-73.962325,40.722737
Rattus norvegicus,-73.972149,40.76782
Rattus norvegicus,-73.959747,40.774113
Rattus norvegicus,-75.196747,39.960442
Rattus norvegicus,-73.888317,40.793225
Rattus norvegicus,-97.956574,26.126542
Rattus norvegicus,-73.993489,40.752086
Rattus norvegicus,-73.943142,40.687761
Rattus norvegicus,-73.933388,40.850693
Rattus norvegicus,-73.994227,40.677126
Rattus norvegicus,-74.184627,40.831945
Rattus norvegicus,-118.537436,34.16395
Rattus norvegicus,-87.627917,41.884225
Rattus norvegicus,-73.983055,40.677128
Rattus norvegicus,-73.96955,40.776275
Rattus norvegicus,-73.993342,40.752431
Rattus norvegicus,-72.40663,41.485367
Rattus norvegicus,-73.973029,40.775316
Rattus norvegicus,-73.933962,40.691942
Rattus norvegicus,-122.419762,37.737157
Rattus norvegicus,-122.477867,37.734717
Rattus norvegicus,-73.987919,40.749954
Rattus norvegicus,-73.970525,40.777261
Rattus norvegicus,-73.967852,40.776381
Rattus norvegicus,-73.981354,40.689796
Rattus norvegicus,-118.280943,33.709225
Rattus norvegicus,-71.057586,42.368387
Rattus norvegicus,-97.695991,30.288288
Rattus norvegicus,-73.975235,40.666499
Rattus norvegicus,-73.928612,40.690967
Rattus norvegicus,-76.989787,38.94213
Rattus norvegicus,-73.989822,40.734383
Rattus norvegicus,-76.302925,36.866005
Rattus norvegicus,-73.969428,40.779744
Rattus norvegicus,-73.99948,40.597297
Rattus norvegicus,-73.98996,40.73618
Rattus norvegicus,-73.058722,40.729808
Rattus norvegicus,-73.934203,40.851727
Rattus norvegicus,-73.934258,40.851783
Rattus norvegicus,-73.996353,40.72523
Rattus norvegicus,-117.239644,32.75611
Rattus norvegicus,-71.484009,42.501768
Rattus norvegicus,-71.0641,42.356086
Rattus norvegicus,-117.141489,33.158992
Rattus norvegicus,-82.336988,36.34098
Rattus norvegicus,-87.665741,42.010399
Rattus norvegicus,-71.439476,41.862054
Rattus norvegicus,-73.968283,40.710853
Rattus norvegicus,-73.958926,40.800062
Rattus norvegicus,-74.00943,40.70459
Rattus norvegicus,-73.996353,40.725247
Rattus norvegicus,-75.654233,39.872606
Rattus norvegicus,-86.498733,39.163661
Rattus norvegicus,-73.992745,40.761112
Rattus norvegicus,-73.924247,40.82747
Rattus norvegicus,-90.084694,29.955458
Rattus norvegicus,-105.129529,39.772835
Rattus norvegicus,-73.962523,40.739048
Rattus norvegicus,-75.18425,39.954963
Rattus norvegicus,-84.379428,33.779978
Rattus norvegicus,-73.922172,40.700162
Rattus norvegicus,-73.8969,40.725934
Rattus norvegicus,-74.011841,40.645824
Rattus norvegicus,-71.017212,42.357865
Rattus norvegicus,-74.001636,40.741112
Rattus norvegicus,-73.923999,40.8271
Rattus norvegicus,-73.982335,40.70352
Rattus norvegicus,-73.984864,40.72461
Rattus norvegicus,-71.104469,42.32912
Rattus norvegicus,-73.950662,40.691547
Rattus norvegicus,-77.121227,38.878274
Rattus norvegicus,-73.996553,40.731051
Rattus norvegicus,-74.009378,40.704835
Rattus norvegicus,-77.122376,38.878947
Rattus norvegicus,-74.008057,40.636467
Rattus norvegicus,-74.010277,40.70401
Rattus norvegicus,-73.966179,40.688223
Rattus norvegicus,-74.00019,40.715592
Rattus norvegicus,-71.122808,42.396893
Rattus norvegicus,-76.631995,39.455031
Rattus norvegicus,-122.228133,47.562487
Rattus norvegicus,-73.951287,40.711863
Rattus norvegicus,-73.87797,40.853409
Rattus norvegicus,-122.261546,37.484003
Rattus norvegicus,-77.078886,38.912098
Rattus norvegicus,-73.965584,40.782547
Rattus norvegicus,-122.447286,37.637055
Rattus norvegicus,-79.817688,39.524505
Rattus norvegicus,-122.20945,47.418697
Rattus norvegicus,-73.958015,40.752935
Rattus norvegicus,-87.622261,41.897067
Rattus norvegicus,-87.695735,41.94596
Rattus norvegicus,-87.633137,41.9632
Rattus norvegicus,-78.193597,38.917705
Rattus norvegicus,-73.74703,40.657745
Rattus norvegicus,-75.187937,39.955703
Rattus norvegicus,-71.152448,42.398344
Rattus norvegicus,-73.973227,40.687382
Rattus norvegicus,-87.807,41.94526
Rattus norvegicus,-73.970094,40.777012
Rattus norvegicus,-122.328012,47.617153
Rattus norvegicus,-73.993263,40.752555
Rattus norvegicus,-73.746788,40.657742
Rattus norvegicus,-77.029189,38.997825
Rattus norvegicus,-87.782638,41.940613
Rattus norvegicus,-117.748872,33.639063
Rattus norvegicus,-87.887574,43.070971
Rattus norvegicus,-73.977355,40.684312
Rattus norvegicus,-73.94303,40.806767
Rattus norvegicus,-72.548897,41.871497
Rattus norvegicus,-77.042433,38.922163
Rattus norvegicus,-84.390075,33.750603
Rattus norvegicus,-81.627299,30.304511
Rattus norvegicus,-76.99514,38.986135
Rattus norvegicus,-71.034265,42.400988
Rattus norvegicus,-73.743278,40.662125
Rattus norvegicus,-75.159667,39.971622
Rattus norvegicus,-82.551671,35.589987
Rattus norvegicus,-81.627297,30.304506
Rattus norvegicus,-73.747003,40.657805
Rattus norvegicus,-73.969864,40.776496
Rattus norvegicus,-71.078903,42.342863
Rattus norvegicus,-87.627719,41.884186
Rattus norvegicus,-75.155464,39.97935
Rattus norvegicus,-76.934478,38.993028
Rattus norvegicus,-73.993662,40.751678
Rattus norvegicus,-71.069992,42.355878
Rattus norvegicus,-122.370116,37.737557
Rattus norvegicus,-79.590266,38.420697
Rattus norvegicus,-79.817245,39.52437
Rattus norvegicus,-73.746912,40.657738
Rattus norvegicus,-73.74691,40.657763
Rattus norvegicus,-87.634276,41.962847
Rattus norvegicus,-73.744537,40.66053
Rattus norvegicus,-73.626789,40.714892
Rattus norvegicus,-87.887725,43.081169
Rattus norvegicus,-71.286217,41.948258
Rattus norvegicus,-71.283255,41.94687
Rattus norvegicus,-71.125839,42.381675
Rattus norvegicus,-74.12448,41.014564
Rattus norvegicus,-82.951331,40.076749
Rattus norvegicus,-87.67485,41.993665
Rattus norvegicus,-73.987622,40.742073
Rattus norvegicus,-73.824992,40.616721
Rattus norvegicus,-83.089596,39.942898
Rattus norvegicus,-78.875603,42.966713
Rattus norvegicus,-71.092042,42.342208
Rattus norvegicus,-122.480209,37.781667
Rattus norvegicus,-73.972284,40.773494
Rattus norvegicus,-71.286133,41.948355
Rattus norvegicus,-73.93345,40.849448
Rattus norvegicus,-118.271483,34.055114
Rattus norvegicus,-71.05092,42.246363
Rattus norvegicus,-87.651307,41.98419
Rattus norvegicus,-122.305712,47.912117
Rattus norvegicus,-121.94581,37.473751
Rattus norvegicus,-96.859863,33.006636
Rattus norvegicus,-73.963722,40.691863
Rattus norvegicus,-73.957642,40.717697
Rattus norvegicus,-122.570261,47.770783
Rattus norvegicus,-87.68038,42.058492
Rattus norvegicus,-80.351517,41.469551
Rattus norvegicus,-73.923517,40.70304
Rattus norvegicus,-121.974317,36.962814
Rattus norvegicus,-71.193523,42.507996
Rattus norvegicus,-71.255312,42.367783
Rattus norvegicus,-73.74277,40.662849
Rattus norvegicus,-73.963805,40.691788
Rattus norvegicus,-122.256233,37.80698
Rattus norvegicus,-122.312484,47.659879
Rattus norvegicus,-73.961555,40.690803
Rattus norvegicus,-76.98928,38.892772
Rattus norvegicus,-73.147131,41.152624
Rattus norvegicus,-73.590008,43.311457
Rattus norvegicus,-73.970819,40.77677
Rattus norvegicus,-122.0009,37.417131
Rattus norvegicus,-87.694083,41.957638
Rattus norvegicus,-74.016678,40.714833
Rattus norvegicus,-73.961578,40.69075
Rattus norvegicus,-122.313125,47.664292
Rattus norvegicus,-76.9655,38.925367
Rattus norvegicus,-77.002625,38.918667
Rattus norvegicus,-77.017362,38.925017
Rattus norvegicus,-122.135019,47.594275
Rattus norvegicus,-73.955481,40.787536
Rattus norvegicus,-73.858863,40.832725
Rattus norvegicus,-87.691877,41.945872
Rattus norvegicus,-73.970088,40.776122
Rattus norvegicus,-73.971437,40.777237
Rattus norvegicus,-82.347966,36.311632
Rattus norvegicus,-122.386572,47.792264
Rattus norvegicus,-73.969918,40.776949
Rattus norvegicus,-73.963387,40.69223
Rattus norvegicus,-75.164344,39.949317
Rattus norvegicus,-83.13995,42.536769
Rattus norvegicus,-87.629005,41.876617
Rattus norvegicus,-73.920303,40.757393
Rattus norvegicus,-123.29889,44.582965
Rattus norvegicus,-77.070378,38.919529
Rattus norvegicus,-79.087404,35.825445
Rattus norvegicus,-98.48188,29.460625
Rattus norvegicus,-122.398025,47.665128
Rattus norvegicus,-68.782225,44.798523
Rattus norvegicus,-71.439269,41.862027
Rattus norvegicus,-74.0465,40.721947
Rattus norvegicus,-122.298967,47.629653
Rattus norvegicus,-122.257052,37.800106
Rattus norvegicus,-73.971497,40.778144
Rattus norvegicus,-122.366024,47.676593
Rattus norvegicus,-122.409562,47.580107
Rattus norvegicus,-71.065517,42.355561
Rattus norvegicus,-122.719762,45.470585
Rattus norvegicus,-71.191108,42.387755
Rattus norvegicus,-71.06078,42.362119
Rattus norvegicus,-83.149463,42.5139
Rattus norvegicus,-122.283215,47.542502
Rattus norvegicus,-111.663283,40.251788
Rattus norvegicus,-122.353041,47.667568
Rattus norvegicus,-76.584008,39.376987
Rattus norvegicus,-98.27851,29.512513
Rattus norvegicus,-73.977527,40.752067
Rattus norvegicus,-73.889787,40.889512
Rattus norvegicus,-75.910237,39.879997
Rattus norvegicus,-73.981875,40.768696
Rattus norvegicus,-80.010886,40.479288
Rattus norvegicus,-74.127147,40.575752
Rattus norvegicus,-73.966895,40.654167
Rattus norvegicus,-79.817131,39.524242
Rattus norvegicus,-122.0235,36.973767
