species,y,x
Rusa unicolor,15.372389,99.115548
Rusa unicolor,15.414153,99.287627
Rusa unicolor,14.468376,101.220051
Rusa unicolor,15.656057,99.315998
Rusa unicolor,14.395427,101.416936
Rusa unicolor,12.724997,100.889466
Rusa unicolor,14.408467,101.295562
Rusa unicolor,14.267008,101.456663
Rusa unicolor,15.567925,99.237708
Rusa unicolor,14.42,101.36
Rusa unicolor,14.42,101.38
Rusa unicolor,14.578327,101.27239
Rusa unicolor,14.51316,101.2436
Rusa unicolor,16.849098,101.73898
Rusa unicolor,14.494859,101.233452
Rusa unicolor,14.598586,101.300737
Rusa unicolor,14.502102,101.31804
Rusa unicolor,14.414413,101.334806
Rusa unicolor,15.59788,99.361504
Rusa unicolor,14.50944,101.088528
Rusa unicolor,12.698999,100.986673
Rusa unicolor,14.553392,101.278757
Rusa unicolor,14.435287,101.352993
Rusa unicolor,14.215499,101.575285
Rusa unicolor,14.414879,101.326539
Rusa unicolor,14.206402,101.409637
Rusa unicolor,14.594216,101.34011
Rusa unicolor,14.539992,101.280561
Rusa unicolor,13.901469,100.666118
Rusa unicolor,15.724838,99.334098
Rusa unicolor,14.430179,101.281119
Rusa unicolor,12.788844,100.857177
Rusa unicolor,14.435445,101.37248
Rusa unicolor,14.412608,101.372025
Rusa unicolor,14.581983,101.276384
Rusa unicolor,14.40717,101.283025
Rusa unicolor,14.351314,101.543748
Rusa unicolor,14.218378,101.587719
Rusa unicolor,14.334583,101.598473
Rusa unicolor,14.522075,101.571076
Rusa unicolor,14.593122,101.284843
Rusa unicolor,14.559409,101.220302
Rusa unicolor,14.509044,101.223158
Rusa unicolor,14.486158,101.212418
Rusa unicolor,14.565603,101.223443
Rusa unicolor,14.413465,101.372238
Rusa unicolor,15.597805,99.361595
Rusa unicolor,10.477386,99.093571
Rusa unicolor,14.488791,101.302412
Rusa unicolor,14.595996,101.282327
Rusa unicolor,14.374069,101.309861
Rusa unicolor,14.453538,101.203498
Rusa unicolor,14.460661,101.248585
Rusa unicolor,14.412124,101.272861
Rusa unicolor,14.593308,101.33072
Rusa unicolor,14.517687,101.258065
Rusa unicolor,14.428802,101.311846
Rusa unicolor,14.530729,101.279473
Rusa unicolor,14.516121,101.241761
Rusa unicolor,14.508109,101.296677
Rusa unicolor,14.568318,101.356589
Rusa unicolor,14.473666,101.329877
Rusa unicolor,14.489476,101.298702
Rusa unicolor,14.54158,101.296462
Rusa unicolor,14.281005,101.411977
Rusa unicolor,15.426956,99.327376
Rusa unicolor,15.536561,99.259025
Rusa unicolor,14.491797,101.295204
Rusa unicolor,14.451467,101.278642
Rusa unicolor,14.528269,101.399832
Rusa unicolor,14.425353,101.339748
Rusa unicolor,14.438608,101.371429
Rusa unicolor,14.436733,101.371391
Rusa unicolor,14.436739,101.372269
Rusa unicolor,14.433924,101.371933
Rusa unicolor,14.443602,101.368833
Rusa unicolor,14.413479,101.37175
Rusa unicolor,14.430648,101.370018
Rusa unicolor,14.413446,101.372047
Rusa unicolor,14.441712,101.370285
Rusa unicolor,15.649704,99.240665
Rusa unicolor,14.446083,101.373348
Rusa unicolor,14.406038,101.311532
Rusa unicolor,14.494899,101.358215
Rusa unicolor,14.568765,101.326359
Rusa unicolor,14.448512,101.318004
Rusa unicolor,14.50282,101.37348
Rusa unicolor,14.470911,101.320945
Rusa unicolor,14.517259,101.205702
Rusa unicolor,16.883231,101.656421
Rusa unicolor,14.501306,101.315513
Rusa unicolor,14.480912,101.326646
Rusa unicolor,14.253754,101.432321
Rusa unicolor,14.507583,101.366187
Rusa unicolor,14.405436,101.364345
Rusa unicolor,14.26856,101.245725
Rusa unicolor,14.426146,101.383453
Rusa unicolor,14.576971,101.361201
Rusa unicolor,14.428115,101.382713
Rusa unicolor,14.422619,101.28039
Rusa unicolor,14.414238,101.372043
Rusa unicolor,14.44014,101.370377
Rusa unicolor,14.489407,101.386528
Rusa unicolor,14.411398,101.372923
Rusa unicolor,14.500164,101.383797
Rusa unicolor,14.437165,101.372414
Rusa unicolor,14.433984,101.372021
Rusa unicolor,14.424074,101.384727
Rusa unicolor,14.438682,101.371559
Rusa unicolor,14.42317,101.387958
Rusa unicolor,14.43497,101.38427
Rusa unicolor,14.434429,101.372361
Rusa unicolor,14.439633,101.372187
Rusa unicolor,14.440921,101.342228
Rusa unicolor,14.424101,101.385725
Rusa unicolor,14.410877,101.372957
Rusa unicolor,14.425258,101.38458
Rusa unicolor,14.417953,101.371094
Rusa unicolor,14.441543,101.370262
Rusa unicolor,14.514964,101.302665
Rusa unicolor,14.371343,101.208806
