species,x,y
Ursus arctos,-110.433098,44.035129
Ursus arctos,-149.466845,63.639697
Ursus arctos,-150.094217,63.450984
Ursus arctos,-150.027362,63.575538
Ursus arctos,-150.028445,63.506398
Ursus arctos,-150.17613,63.584046
Ursus arctos,-113.568822,48.889586
Ursus arctos,-113.556427,48.928067
Ursus arctos,-113.767457,48.792391
Ursus arctos,-150.261385,63.40677
Ursus arctos,-110.58322,44.702027
Ursus arctos,-110.284144,44.494553
Ursus arctos,-110.615413,43.761883
Ursus arctos,-151.149781,63.109382
Ursus arctos,-110.680481,44.405675
Ursus arctos,-110.464599,43.893135
Ursus arctos,-110.6919,44.861832
Ursus arctos,-110.937375,44.72788
Ursus arctos,-110.916751,44.617464
Ursus arctos,-110.621234,44.603849
Ursus arctos,-110.533508,44.566649
Ursus arctos,-110.295971,44.513864
Ursus arctos,-110.5586,43.801884
Ursus arctos,-113.892964,48.46883
Ursus arctos,-113.661688,48.816147
Ursus arctos,-149.670022,63.553939
Ursus arctos,-149.606264,63.593553
Ursus arctos,-149.711287,63.413639
Ursus arctos,-113.536662,48.939161
Ursus arctos,-111.964252,45.61636
Ursus arctos,-113.513785,48.771191
Ursus arctos,-113.782677,48.664963
Ursus arctos,-113.726797,48.848103
Ursus arctos,-109.99685,44.578011
Ursus arctos,-113.600477,48.619813
Ursus arctos,-110.295863,44.485677
Ursus arctos,-149.66431,63.579142
Ursus arctos,-148.599045,70.285071
Ursus arctos,-110.873469,44.423556
Ursus arctos,-110.154903,44.564674
Ursus arctos,-113.588527,48.621455
Ursus arctos,-110.172124,44.909962
Ursus arctos,-110.514651,44.632337
Ursus arctos,-113.457445,48.645452
Ursus arctos,-113.573814,48.939934
Ursus arctos,-110.131561,43.679845
Ursus arctos,-149.797326,63.458643
Ursus arctos,-110.096884,44.590253
Ursus arctos,-113.684127,48.686212
Ursus arctos,-110.569155,44.700881
Ursus arctos,-110.348411,44.892861
Ursus arctos,-110.058684,44.906338
Ursus arctos,-110.596159,44.658276
Ursus arctos,-110.781143,43.913718
Ursus arctos,-110.44007,44.771928
Ursus arctos,-113.771386,48.735844
Ursus arctos,-110.579901,44.705493
Ursus arctos,-113.553216,48.877679
Ursus arctos,-109.951294,44.50589
Ursus arctos,-110.433284,44.628999
Ursus arctos,-113.74845,48.750474
Ursus arctos,-110.573947,44.691496
Ursus arctos,-110.358132,44.984485
Ursus arctos,-110.760765,44.715208
Ursus arctos,-110.579796,44.689882
Ursus arctos,-110.714158,43.88326
Ursus arctos,-110.648353,44.743168
Ursus arctos,-113.675967,48.73291
Ursus arctos,-110.578648,44.680608
Ursus arctos,-110.298261,44.52062
Ursus arctos,-110.200871,44.961691
Ursus arctos,-110.365322,44.883186
Ursus arctos,-110.486737,44.629741
Ursus arctos,-110.575738,44.665168
Ursus arctos,-109.876771,44.406317
Ursus arctos,-110.228414,43.933902
Ursus arctos,-110.121745,44.940815
Ursus arctos,-110.529423,44.996011
Ursus arctos,-110.224163,44.951492
Ursus arctos,-110.467212,44.783104
