x,y,Country,Year,salinity_max,salinity_min,salinity_mean,salinity_range,temp_max,temp_min,temp_mean,temp_range
90.93,22.07,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.85,22.07,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.77,22.07,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.68,22.07,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.6,22.07,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.52,22.07,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.43,22.07,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.35,22.07,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.27,22.07,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.1,22.07,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.02,22.07,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.93,21.98,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.85,21.98,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.77,21.98,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.68,21.98,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.6,21.98,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.52,21.98,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.43,21.98,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.35,21.98,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.27,21.98,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.1,21.98,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.02,21.98,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.93,21.9,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.85,21.9,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.77,21.9,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.68,21.9,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.6,21.9,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.52,21.9,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.43,21.9,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.35,21.9,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.27,21.9,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.18,21.9,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.1,21.9,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.02,21.9,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.93,21.82,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.85,21.82,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.77,21.82,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.68,21.82,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.6,21.82,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.52,21.82,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.43,21.82,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.35,21.82,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.27,21.82,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.18,21.82,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.1,21.82,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.02,21.82,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.93,21.73,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.85,21.73,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.77,21.73,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.68,21.73,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.6,21.73,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.52,21.73,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.43,21.73,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.35,21.73,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.27,21.73,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.18,21.73,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.1,21.73,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
90.02,21.73,Bangladesh,2000,-2.381795019,-5.268724343,-4.287020203,7.8600573,1.086615202,0.85519647,1.07869844,0.859103247
-118.17,33.76,United States,2001,-0.191106424,0.145212287,-0.028314314,-0.634049833,0.234403594,0.107084253,0.212710566,0.447196183
-118.28,33.71,United States,2001,-0.191106424,0.145212287,-0.028314314,-0.634049833,0.234403594,0.107084253,0.212710566,0.447196183
-117.38,33.19,United States,2001,-0.29553165,0.049309584,-0.141853108,-0.591162875,0.253296422,0.128349193,0.219753485,0.440821075
-117.3,33.05,United States,2001,-0.29553165,0.049309584,-0.141853108,-0.591162875,0.253296422,0.128349193,0.219753485,0.440821075
-117.25,32.88,United States,2001,-0.29553165,0.049309584,-0.141853108,-0.591162875,0.253296422,0.128349193,0.219753485,0.440821075
-117.2,32.71,United States,2001,-0.29553165,0.049309584,-0.141853108,-0.591162875,0.253296422,0.128349193,0.219753485,0.440821075
-117.13,32.52,United States,2001,-0.220244069,0.16857117,-0.038409067,-0.733430858,0.253829435,0.185665884,0.247110226,0.250214051
-75.65,37.73,United States,2003,0.311670111,-0.323015377,-0.021797189,1.213156804,0.646271715,-0.595064735,0.059128162,4.116222773
-75.9,37.73,United States,2003,0.311670111,-0.323015377,-0.021797189,1.213156804,0.646271715,-0.595064735,0.059128162,4.116222773
-75.65,37.65,United States,2003,0.311670111,-0.323015377,-0.021797189,1.213156804,0.646271715,-0.595064735,0.059128162,4.116222773
-75.73,37.65,United States,2003,0.311670111,-0.323015377,-0.021797189,1.213156804,0.646271715,-0.595064735,0.059128162,4.116222773
-75.65,37.57,United States,2003,0.311670111,-0.323015377,-0.021797189,1.213156804,0.646271715,-0.595064735,0.059128162,4.116222773
-75.73,37.57,United States,2003,0.311670111,-0.323015377,-0.021797189,1.213156804,0.646271715,-0.595064735,0.059128162,4.116222773
-75.82,37.57,United States,2003,0.311670111,-0.323015377,-0.021797189,1.213156804,0.646271715,-0.595064735,0.059128162,4.116222773
